http://dbpedia.org/ontology/SoccerTournament,http://dbpedia.org/ontology/numberOfSeasons
Celebrity Duets: Philippine Edition,3
Britain's Got Talent,10
ディーヴァサーチ,4
Australian Idol,7
Over the Rainbow (Canadian TV series),1
The Voice of Ireland,5
StarStruck (Philippine TV series),7
Eurolaul,15
The Biggest Loser Pinoy Edition,2
Vietnam Idol,6
My Camp Rock,2
My Camp Rock,1
My Camp Rock,1
Côr Cymru,5
MBC偶像明星運動會,12
Crowned: The Mother of All Pageants,1
英国达人,10
Britain's Got Talent,10
絕對SuperStar,3
Eurolaul,15
Britain's Got Talent,10
Jaya Super Singer South India,1
Idol Star Athletics Championships,12
The X Factor (Royaume-Uni),13
Britain’s Got Talent,10
All American Girl (2003 TV series),1
