http://dbpedia.org/ontology/University,University,http://dbpedia.org/ontology/formationYear
http://dbpedia.org/resource/International_Centre_for_Integrated_Mountain_Development,International Centre for Integrated Mountain Development,2010
http://dbpedia.org/resource/Central_Policy_Research_Office,Central Policy Research Office,2002
http://dbpedia.org/resource/Civil_Service_College_Singapore,Civil Service College Singapore,1945
http://dbpedia.org/resource/The_Finnish_Institute_of_International_Affairs,The Finnish Institute of International Affairs,1985
http://dbpedia.org/resource/D&F_Academy,D&F Academy,2073
http://dbpedia.org/resource/Centre_for_Metrology_and_Accreditation,Centre for Metrology and Accreditation,2023
http://dbpedia.org/resource/Kazakhstan_Institute_for_Strategic_Studies,Kazakhstan Institute for Strategic Studies,2026
http://dbpedia.org/resource/International_Finance_Corporation,International Finance Corporation,1993
http://dbpedia.org/resource/Institute_for_the_Study_of_Labor,Institute for the Study of Labor,2071
http://dbpedia.org/resource/Supreme_Audit_Office_(Poland),Supreme Audit Office (Poland),1979
http://dbpedia.org/resource/Hong_Kong_International_Arbitration_Centre,Hong Kong International Arbitration Centre,2014
http://dbpedia.org/resource/All_India_Institute_of_Hygiene_and_Public_Health,All India Institute of Hygiene and Public Health,1987
http://dbpedia.org/resource/Asian_Infrastructure_Investment_Bank,Asian Infrastructure Investment Bank,1968
http://dbpedia.org/resource/Iqbal_Academy_Pakistan,Iqbal Academy Pakistan,2029
http://dbpedia.org/resource/Institut_national_de_la_recherche_agronomique,Institut national de la recherche agronomique,2036
http://dbpedia.org/resource/Babraham_Institute,Babraham Institute,1898
http://dbpedia.org/resource/Sisters_of_Charity_of_Leavenworth,Sisters of Charity of Leavenworth,1897
"http://dbpedia.org/resource/Islamia_School,_Kargil","Islamia School, Kargil",2036
http://dbpedia.org/resource/Salesians_of_Don_Bosco,Salesians of Don Bosco,1935
http://dbpedia.org/resource/Royal_Institute_of_the_Albanian_Studies,Royal Institute of the Albanian Studies,1974
http://dbpedia.org/resource/Institute_of_International_Relations_Prague,Institute of International Relations Prague,1967
http://dbpedia.org/resource/ASTRON,ASTRON,1875
http://dbpedia.org/resource/Academy_of_Sciences_and_Arts_of_the_Republika_Srpska,Academy of Sciences and Arts of the Republika Srpska,1915
http://dbpedia.org/resource/Miss_University_of_Florida,Miss University of Florida,2028
http://dbpedia.org/resource/Kollel_Ohr_Yosef,Kollel Ohr Yosef,1916
http://dbpedia.org/resource/Simons_Institute_for_the_Theory_of_Computing,Simons Institute for the Theory of Computing,2086
http://dbpedia.org/resource/Statistics_Iceland,Statistics Iceland,1976
http://dbpedia.org/resource/Generalitat_de_Catalunya,Generalitat de Catalunya,1844
http://dbpedia.org/resource/Academy_of_the_Arabic_Language_in_Israel,Academy of the Arabic Language in Israel,1982
