http://dbpedia.org/ontology/PublicTransitSystem,PublicTransitSystem,http://dbpedia.org/ontology/openingYear
http://dbpedia.org/resource/Green_Mountain_Cog_Railway,Green Mountain Cog Railway,1871
http://dbpedia.org/resource/Amtrak_California,Amtrak California,1887
http://dbpedia.org/resource/Credit_Valley_Railway,Credit Valley Railway,1947
http://dbpedia.org/resource/Canadian_National_Railway,Canadian National Railway,1937
http://dbpedia.org/resource/Olympia_and_Belmore_Railroad,Olympia and Belmore Railroad,2092
http://dbpedia.org/resource/Chennai_Suburban_Railway,Chennai Suburban Railway,1966
http://dbpedia.org/resource/Cebu_Bus_Rapid_Transit_System,Cebu Bus Rapid Transit System,1960
http://dbpedia.org/resource/East_Tennessee_and_Virginia_Railroad,East Tennessee and Virginia Railroad,1825
http://dbpedia.org/resource/Shiraz_Metro,Shiraz Metro,2024
http://dbpedia.org/resource/Edaville_Railroad,Edaville Railroad,2033
http://dbpedia.org/resource/Parla_Tram,Parla Tram,1922
http://dbpedia.org/resource/Carson_and_Colorado_Railway,Carson and Colorado Railway,1970
http://dbpedia.org/resource/Rennes_Metro,Rennes Metro,1981
http://dbpedia.org/resource/Ossining_Electric_Railway,Ossining Electric Railway,1837
http://dbpedia.org/resource/Tabriz_Metro,Tabriz Metro,1959
http://dbpedia.org/resource/Ningbo_Rail_Transit,Ningbo Rail Transit,2036
