http://dbpedia.org/ontology/SportsTeam,SportsTeam,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/Radford_Highlanders_women's_soccer,Radford Highlanders women's soccer,2
http://dbpedia.org/resource/SDC_San_Antonio,SDC San Antonio,1
http://dbpedia.org/resource/Maybank_HC,Maybank HC,20
http://dbpedia.org/resource/Charlotte_49ers_men's_soccer,Charlotte 49ers men's soccer,24
http://dbpedia.org/resource/FIU_Panthers_men's_soccer,FIU Panthers men's soccer,17
http://dbpedia.org/resource/Sliema_Hotsticks_Hockey_Club,Sliema Hotsticks Hockey Club,7
http://dbpedia.org/resource/Al_Sadd_SC_(handball),Al Sadd SC (handball),96
http://dbpedia.org/resource/Saint_Louis_Billikens_men's_soccer,Saint Louis Billikens men's soccer,16
http://dbpedia.org/resource/Tulsa_Golden_Hurricane_men's_soccer,Tulsa Golden Hurricane men's soccer,19
http://dbpedia.org/resource/FIU_Panthers_men's_soccer,FIU Panthers men's soccer,24
http://dbpedia.org/resource/Akron_Zips_men's_soccer,Akron Zips men's soccer,22
http://dbpedia.org/resource/E.I.S._Men's_Volleyball,E.I.S. Men's Volleyball,24
http://dbpedia.org/resource/UniKL_HC,UniKL HC,15
http://dbpedia.org/resource/E.I.S._Men's_Volleyball,E.I.S. Men's Volleyball,8
http://dbpedia.org/resource/VCU_Rams_men's_soccer,VCU Rams men's soccer,3
http://dbpedia.org/resource/Akron_Zips_men's_soccer,Akron Zips men's soccer,16
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,27
http://dbpedia.org/resource/FIU_Panthers_men's_soccer,FIU Panthers men's soccer,22
http://dbpedia.org/resource/Charlotte_49ers_men's_soccer,Charlotte 49ers men's soccer,20
http://dbpedia.org/resource/Minija_Kretinga,Minija Kretinga,0
http://dbpedia.org/resource/VCU_Rams_men's_soccer,VCU Rams men's soccer,18
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,15
http://dbpedia.org/resource/Cincinnati_Kids,Cincinnati Kids,2
http://dbpedia.org/resource/BM_Ciudad_Real,BM Ciudad Real,11
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,17
http://dbpedia.org/resource/2011_Western_New_York_Flash_season,2011 Western New York Flash season,16
http://dbpedia.org/resource/Maybank_HC,Maybank HC,8
http://dbpedia.org/resource/Tulsa_Golden_Hurricane_men's_soccer,Tulsa Golden Hurricane men's soccer,21
http://dbpedia.org/resource/FIU_Panthers_men's_soccer,FIU Panthers men's soccer,13
http://dbpedia.org/resource/Akron_Zips_men's_soccer,Akron Zips men's soccer,4
http://dbpedia.org/resource/Cincinnati_Kids,Cincinnati Kids,15
http://dbpedia.org/resource/Markaz_Balata,Markaz Balata,5
http://dbpedia.org/resource/Tulsa_Golden_Hurricane_men's_soccer,Tulsa Golden Hurricane men's soccer,3
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,21
http://dbpedia.org/resource/E.I.S._Men's_Volleyball,E.I.S. Men's Volleyball,5
http://dbpedia.org/resource/Cincinnati_Kids,Cincinnati Kids,18
http://dbpedia.org/resource/Saint_Louis_Billikens_men's_soccer,Saint Louis Billikens men's soccer,19
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,10
http://dbpedia.org/resource/Akron_Zips_men's_soccer,Akron Zips men's soccer,12
http://dbpedia.org/resource/DeTas-Yayasan_Pahang,DeTas-Yayasan Pahang,14
http://dbpedia.org/resource/2011_Western_New_York_Flash_season,2011 Western New York Flash season,16
http://dbpedia.org/resource/Al_Sadd_SC_(handball),Al Sadd SC (handball),2
http://dbpedia.org/resource/Saint_Louis_Billikens_men's_soccer,Saint Louis Billikens men's soccer,9
http://dbpedia.org/resource/Markaz_Balata,Markaz Balata,5
http://dbpedia.org/resource/Minija_Kretinga,Minija Kretinga,15
http://dbpedia.org/resource/Yayasan_Negeri_Sembilan_HC,Yayasan Negeri Sembilan HC,5
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,4
http://dbpedia.org/resource/SDC_San_Antonio,SDC San Antonio,15
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,9
http://dbpedia.org/resource/Radford_Highlanders_women's_soccer,Radford Highlanders women's soccer,100
http://dbpedia.org/resource/VCU_Rams_women's_soccer,VCU Rams women's soccer,13
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,23
http://dbpedia.org/resource/Tulsa_Golden_Hurricane_men's_soccer,Tulsa Golden Hurricane men's soccer,2
http://dbpedia.org/resource/Shabab_Al-Bireh_Institute,Shabab Al-Bireh Institute,1
http://dbpedia.org/resource/Minija_Kretinga,Minija Kretinga,23
http://dbpedia.org/resource/UniKL_HC,UniKL HC,11
http://dbpedia.org/resource/2011_Western_New_York_Flash_season,2011 Western New York Flash season,10
http://dbpedia.org/resource/Plataneros_de_Corozal,Plataneros de Corozal,5
http://dbpedia.org/resource/VCU_Rams_women's_soccer,VCU Rams women's soccer,13
http://dbpedia.org/resource/Maybank_HC,Maybank HC,3
http://dbpedia.org/resource/Yayasan_Negeri_Sembilan_HC,Yayasan Negeri Sembilan HC,2
http://dbpedia.org/resource/2011_Western_New_York_Flash_season,2011 Western New York Flash season,26
http://dbpedia.org/resource/FIU_Panthers_men's_soccer,FIU Panthers men's soccer,2
http://dbpedia.org/resource/Minija_Kretinga,Minija Kretinga,37
http://dbpedia.org/resource/UST_Growling_Tigers,UST Growling Tigers,3
http://dbpedia.org/resource/2013_NSCAA_Men's_Soccer_All-Americans,2013 NSCAA Men's Soccer All-Americans,6
http://dbpedia.org/resource/VCU_Rams_women's_soccer,VCU Rams women's soccer,0
http://dbpedia.org/resource/Lekhwiya_Handball_Team,Lekhwiya Handball Team,12
http://dbpedia.org/resource/Sliema_Hotsticks_Hockey_Club,Sliema Hotsticks Hockey Club,3
http://dbpedia.org/resource/Laguna_F.C.,Laguna F.C.,4
