http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/squadNumber
Vipers SC,2
Union Royale La Louvière Centre,13
Tipografía Nacional,19
2002–03 Manchester City F.C. season,1
2003–04 Manchester City F.C. season,26
HSG Wetzlar,27
Manchester City Football Club 2004-2005,10
Tipografía Nacional,16
Resovia Rzeszów,13
HSG Wetzlar,21
Handballspielgemeinschaft Wetzlar Handball,27
Vipers SC,5
HSG Wetzlar,1
Vipers SC,8
Manchester City Football Club 2004-2005,26
2013–14 Maccabi Tel Aviv F.C. season,18
Banaadir Telecom FC,30
2003–04 Manchester City F.C. season,12
Tipografía Nacional,3
Benadir SC,4
Hóquei Clube de Braga,4
Toledo BM,11
Hóquei Clube de Braga,8
Shandong Province Youth Football Team,29
Hóquei Clube de Braga,1
Manchester City Football Club 2004-2005,18
Los Angeles Skyhawks,18
Benadir SC,17
2013–14 Maccabi Tel Aviv F.C. season,6
Fortuna Ålesund,6
Meelin GAA,4
2014–15 Viborg FF season,21
HSG Wetzlar,43
Tenaga Nasional Berhad HC,4
2013–14 Maccabi Tel Aviv F.C. season,10
Shandong Province Youth Football Team,24
Vipers Sports Club,23
2004–05 Manchester City F.C. season,11
HSG Wetzlar,23
HSG Wetzlar,25
Vipers SC,5
HSG Wetzlar,23
HSG Wetzlar,44
Toledo BM,5
2015–16 KS Cracovia (football) season,64
HSG Wetzlar,46
Banaadir Telecom FC,25
HSG Wetzlar,3
Fortuna Ålesund,5
CWKS Resovia,2
Los Angeles Skyhawks,1
2002–03 Manchester City F.C. season,21
Manchester City Football Club 2002-2003,18
2002–03 Manchester City F.C. season,38
UR La Louvière Centre,29
Sport Bissau e Benfica,21
Sport Bissau e Benfica,13
Sport Bissau e Benfica,30
Hóquei Clube de Braga,6
HSG Wetzlar,23
Banaadir Sports Club,19
Banaadir Telecom FC,5
Vipers SC,18
2002–03 Manchester City F.C. season,26
HSG Wetzlar,16
HSG Wetzlar,3
Vipers Sports Club,3
Sport Bissau e Benfica,21
UR La Louvière Centre,12
CWKS Resovia,9
Shandong Province Youth Football Team,11
Hóquei Clube de Braga,1
Manchester City Football Club 2004-2005,29
HBL FC,9
CWKS Resovia,10
Sport Bissau e Benfica,4
Toledo Balonmano,23
HSG Wetzlar,28
Meelin GAA,10
HSG Wetzlar,6
2004–05 Manchester City F.C. season,40
Tenaga Nasional Berhad HC,6
Manchester City Football Club 2004-2005,30
Shandong Province Youth Football Team,32
Manchester City Football Club 2003-2004,19
UR La Louvière Centre,84
Toledo Balonmano,5
2002–03 Manchester City F.C. season,9
Tipografía Nacional,23
Manchester City Football Club 2002-2003,8
Vipers SC,7
Manchester City Football Club 2004-2005,41
Habib Bank Limited Football Club,8
Manama Club,9
CWKS Resovia,8
نادي المنامة,9
Sport Bissau e Benfica,2
Manchester City Football Club 2003-2004,17
Sport Bissau e Benfica,10
Tipografía Nacional,18
HSG Wetzlar,26
UR La Louvière Centre,18
Fortuna Ålesund,3
Meelin GAA,9
Hóquei Clube de Braga,2
CWKS Resovia,20
2002–03 Manchester City F.C. season,24
FK Bratstvo Cijevna,7
Banaadir Sports Club,2
Tipografía Nacional,23
Manchester City Football Club 2003-2004,10
HSG Wetzlar,34
Los Angeles Skyhawks,11
CWKS Resovia,20
Benadir SC,5
FK Cetinje,21
Banadir Sports Club,27
Toledo BM,42
Resovia Rzeszów,17
Meelin GAA,15
Chhlam Samuth,1
Habib Bank Limited Football Club,4
Toledo Balonmano,11
Manchester City Football Club 2003-2004,14
UR La Louvière Centre,13
Meelin GAA,23
Toledo Balonmano,6
Sport Bissau e Benfica,7
山东省男子队 (2011年),17
HBL FC,8
山东省男子队 (2011年),30
Tacoma Tides,19
2002–03 Manchester City F.C. season,3
Tipografía Nacional,21
FK Bratstvo Cijevna,5
Benfica de Bissau,6
HSG Wetzlar,15
Tipografía Nacional,12
Benfica de Bissau,2
Union Royale La Louvière Centre,5
Tipografía Nacional,2
2004–05 Manchester City F.C. season,18
Manchester City Football Club 2002-2003,32
CWKS Resovia,21
Tipografía Nacional,18
Toledo BM,19
Vipers SC,24
Vipers SC,25
Vipers Sports Club,26
Sport Bissau e Benfica,14
HSG Wetzlar,5
Sport Bissau e Benfica,5
2002–03 Manchester City F.C. season,42
Meelin GAA,18
FK Bratstvo Cijevna,9
F.C. Cape Town,6
Banadir Sports Club,19
Chhlam Samuth,5
Tacoma Tides,4
Tipografía Nacional,12
Hóquei Clube de Braga,9
FK Cetinje,7
Vipers SC,27
F.C. Cape Town,8
Manchester City Football Club 2002-2003,6
2003–04 Manchester City F.C. season,20
Manchester City Football Club 2002-2003,43
Shandong Province Youth Football Team,22
Vipers SC,25
HBL F.C.,4
山东省男子队 (2011年),28
Banaadir Telecom FC,7
Tipografía Nacional,21
HSG Wetzlar,25
Tenaga Nasional Berhad HC,5
Tenaga Nasional Berhad HC,11
Tipografía Nacional,13
Manchester City Football Club 2002-2003,20
Toledo BM,1
FK Cetinje,13
Sport Bissau e Benfica,12
UR La Louvière Centre,1
2013–14 Maccabi Tel Aviv F.C. season,31
2015–16 KS Cracovia (football) season,3
Tipografía Nacional,7
Tipografía Nacional,17
Tipografía Nacional,9
HSG Wetzlar,7
Benfica de Bissau,11
